PLACE TITLE,MEMBER ID,DATETIME
6 flags magic mountain,andy@csci585.edu,14-Sep-13
6 flags magic mountain,hope@csci585.edu,14-Sep-13
6 flags magic mountain,pit@csci585.edu,15-Sep-13
Amazon,hope@csci585.edu,14-Sep-13
Amazon,pit@csci585.edu,15-Sep-13
Apple,hope@csci585.edu,14-Sep-13
Apple,pit@csci585.edu,15-Sep-13
Baja Fresh,hope@csci585.edu,14-Sep-13
Baja Fresh,pit@csci585.edu,15-Sep-13
Baja Fresh,tom@csci585.edu,14-Sep-13
Baja Fresh,venus@csci585.edu,14-Sep-13
Carl's Jr,al@csci585.edu,14-Sep-13
Carl's Jr,hope@csci585.edu,14-Sep-13
Carl's Jr,niki@csci585.edu,14-Sep-13
Carl's Jr,pit@csci585.edu,15-Sep-13
Golden Gate,hope@csci585.edu,14-Sep-13
Golden Gate,nelle@csci585.edu,14-Sep-13
Golden Gate,pit@csci585.edu,15-Sep-13
Google,hope@csci585.edu,14-Sep-13
Harvard University,hope@csci585.edu,14-Sep-13
Harvard University,pit@csci585.edu,15-Sep-13
Hollywood sign,hope@csci585.edu,14-Sep-13
Hollywood sign,pit@csci585.edu,14-Sep-13
Hollywood sign,pit@csci585.edu,15-Sep-13
Massachusetts Institute of Technology,hope@csci585.edu,14-Sep-13
Massachusetts Institute of Technology,pit@csci585.edu,15-Sep-13
Mcdonalds,bbahram@csci585.edu,14-Sep-13
Mcdonalds,bill@csci585.edu,14-Sep-13
Mcdonalds,hope@csci585.edu,14-Sep-13
Mcdonalds,pit@csci585.edu,15-Sep-13
Microsoft,hope@csci585.edu,14-Sep-13
Microsoft,pit@csci585.edu,15-Sep-13
Panda Express,angelina@csci585.edu,14-Sep-13
Panda Express,had@csci585.edu,14-Sep-13
Panda Express,hope@csci585.edu,14-Sep-13
Panda Express,pit@csci585.edu,15-Sep-13
Shrine auditorium,hope@csci585.edu,14-Sep-13
Shrine auditorium,josh@csci585.edu,14-Sep-13
Shrine auditorium,pit@csci585.edu,15-Sep-13
The statue of liberty,hope@csci585.edu,14-Sep-13
The statue of liberty,jen@csci585.edu,14-Sep-13
The statue of liberty,pit@csci585.edu,15-Sep-13
"University of California, Berkeley",hope@csci585.edu,14-Sep-13
"University of California, Berkeley",pit@csci585.edu,15-Sep-13
"University of California, Los Angeles",hope@csci585.edu,14-Sep-13
"University of California, Los Angeles",pit@csci585.edu,15-Sep-13
University of Southern California,hope@csci585.edu,14-Sep-13
University of Southern California,pit@csci585.edu,15-Sep-13
Yahoo,hope@csci585.edu,14-Sep-13
Yahoo,pit@csci585.edu,15-Sep-13
Yogurtland,hope@csci585.edu,14-Sep-13
Yogurtland,jakie@csci585.edu,14-Sep-13
Yogurtland,miley@csci585.edu,14-Sep-13
Yogurtland,pit@csci585.edu,15-Sep-13
